id;word;frequence;val
1;the;1 086 322 084;1
2;and;570 238 088;0
3;to;567 125 659;0
4;of;520 616 100;0
5;a;450 818 768;0
6;in;347 194 633;0
7;is;248 380 169;0
8;that;224 519 835;0
9;for;208 388 402;0
10;I;182 655 261;0
11;you;182 453 085;0
12;it;178 836 372;0
13;with;156 119 520;0
14;on;144 467 343;0
15;as;131 550 003;0
16;are;127 182 849;0
17;be;121 334 041;0
18;this;118 313 376;0
19;was;101 276 933;0
20;have;98 995 039;0
21;or;91 357 988;0
22;at;88 985 877;0
23;not;87 283 369;0
24;your;86 771 653;0
25;from;84 815 518;0
26;we;81 286 792;0
27;by;80 592 007;0
28;will;75 287 940;0
29;can;73 380 242;0
30;but;73 083 776;0
31;they;72 519 671;0
32;an;70 739 017;0
33;he;67 251 894;0
34;all;61 495 030;0
35;has;56 078 674;0
36;if;55 913 287;0
37;their;55 489 229;0
38;one;53 923 171;0
39;do;53 876 351;0
40;more;52 863 332;0
41;n't;52 097 921;0
42;my;52 066 603;0
43;his;50 951 208;0
44;so;49 213 525;0
45;there;47 444 673;0
46;about;46 693 627;0
47;which;45 739 634;0
48;when;44 528 548;0
49;what;43 721 332;0
50;out;41 303 918;0
51;up;40 865 639;0
52;our;40 747 450;0
53;who;39 513 873;0
54;also;39 076 493;0
55;had;37 580 331;0
56;time;37 416 837;0
57;some;36 631 344;0
58;would;36 278 124;0
59;were;34 456 212;0
60;like;34 146 192;0
61;been;34 043 476;0
62;just;33 799 176;0
63;her;33 758 030;0
64;new;33 361 392;0
65;other;32 942 994;0
66;them;32 105 569;0
67;she;30 841 495;0
68;people;30 421 073;0
69;these;30 346 365;0
70;no;29 934 430;0
71;get;29 850 777;0
72;how;29 615 038;0
73;me;28 754 532;0
74;into;28 642 590;0
75;than;27 631 684;0
76;only;26 533 516;0
77;its;26 289 380;0
78;most;26 036 206;0
79;may;25 711 134;0
80;any;25 708 576;0
81;many;24 844 281;0
82;make;24 392 340;0
83;then;24 304 264;0
84;well;24 020 281;0
85;first;23 900 423;0
86;very;23 718 574;0
87;over;23 433 481;0
88;now;23 268 050;0
89;could;22 732 394;0
90;after;22 564 231;0
91;even;22 246 087;0
92;because;21 575 657;0
93;us;21 188 627;0
94;said;21 118 317;0
95;good;20 850 458;0
96;way;20 753 150;0
97;two;20 615 564;0
98;should;20 364 151;0
99;work;20 294 419;0
100;use;20 209 195;0
101;through;19 457 545;0
102;see;19 255 611;0
103;know;18 633 716;0
104;did;18 617 523;0
105;much;18 586 676;0
106;where;18 527 936;0
107;years;18 475 373;0
108;need;18 152 024;0
109;him;18 135 444;0
110;back;18 086 300;0
111;such;18 002 390;0
112;those;17 394 626;0
113;being;17 186 684;0
114;day;17 147 221;0
115;take;17 051 169;0
116;while;16 987 528;0
117;here;16 157 575;0
118;before;16 110 780;0
119;does;16 024 521;0
120;great;15 802 739;0
121;year;15 756 464;0
122;go;15 240 443;0
123;help;15 204 513;0
124;want;15 201 049;0
125;really;14 905 838;0
126;think;14 528 861;0
127;best;14 508 216;0
128;life;14 478 608;0
129;each;14 461 675;0
130;made;14 403 756;0
131;right;14 243 466;0
132;world;14 112 944;0
133;business;13 705 631;0
134;home;13 687 649;0
135;own;13 596 911;0
136;down;13 544 228;0
137;still;13 472 686;0
138;used;13 392 282;0
139;find;13 384 274;0
140;around;13 218 230;0
141;going;12 925 606;0
142;every;12 882 762;0
143;both;12 687 801;0
144;last;12 596 956;0
145;off;12 568 448;0
146;too;12 470 769;0
147;same;12 419 285;0
148;information;12 031 414;0
149;little;11 695 673;0
150;another;11 540 840;0
151;look;11 432 731;0
152;few;11 401 511;0
153;long;11 264 930;0
154;part;11 168 135;0
155;since;11 143 932;0
156;things;11 137 850;0
157;place;11 129 389;0
158;am;10 905 198;0
159;between;10 820 784;0
160;during;10 808 095;0
161;different;10 797 013;0
162;must;10 690 628;0
163;come;10 664 434;0
164;using;10 487 785;0
165;however;10 477 701;0
166;without;10 375 679;0
167;high;10 272 381;0
168;why;10 239 970;0
169;something;10 238 690;0
170;online;10 191 169;0
171;system;10 112 358;0
172;better;10 080 112;0
173;three;10 069 875;0
174;never;10 040 300;0
175;always;10 021 039;0
176;love;9 978 269;0
177;say;9 940 058;0
178;might;9 758 074;0
179;next;9 327 423;0
180;company;9 314 939;0
181;state;9 213 709;0
182;number;9 200 697;0
183;again;9 157 338;0
184;free;9 139 571;0
185;lot;9 110 408;0
186;under;8 999 181;0
187;family;8 942 739;0
188;found;8 871 991;0
189;within;8 821 032;0
190;give;8 816 968;0
191;set;8 815 554;0
192;school;8 755 836;0
193;important;8 743 753;0
194;water;8 685 078;0
195;able;8 670 394;0
196;keep;8 648 208;0
197;got;8 642 205;0
198;sure;8 552 448;0
199;end;8 551 115;0
200;money;8 534 863;0
201;service;8 521 606;0
202;small;8 519 934;0
203;put;8 378 749;0
204;experience;8 364 514;0
205;having;8 280 863;0
206;once;8 236 139;0
207;available;8 220 464;0
208;health;8 159 671;0
209;support;8 131 832;0
210;often;8 108 755;0
211;including;8 082 359;0
212;days;7 951 767;0
213;away;7 854 419;0
214;old;7 820 868;0
215;area;7 800 194;0
216;feel;7 775 709;0
217;read;7 745 587;0
218;show;7 710 438;0
219;big;7 641 799;0
220;against;7 635 745;0
